Date,Volume,Adj Close
"Nov 17, 2016",284874,45.42
"Nov 16, 2016",658169,45.57
"Nov 15, 2016",706177,45.81
"Nov 14, 2016",704766,43.32
"Nov 10, 2016",686338,44.66
"Nov 9, 2016",946512,45.27
"Nov 8, 2016",669639,44.98
"Nov 7, 2016",605733,44.89
"Nov 4, 2016",736685,44.07
"Nov 3, 2016",540439,44.66
"Nov 2, 2016",674322,45.34
"Nov 1, 2016",834989,46.67
"Oct 31, 2016",649237,46.86
"Oct 28, 2016",550081,48.7
"Oct 27, 2016",543173,49.72
"Oct 26, 2016",679320,49.18
"Oct 25, 2016",553778,49.96
"Oct 24, 2016",623398,50.52
"Oct 21, 2016",551300,50.85
"Oct 20, 2016",548947,50.43
"Oct 19, 2016",132427,51.6
"Oct 18, 2016",192803,50.29
"Oct 17, 2016",418723,49.94
"Oct 14, 2016",519431,50.35
"Oct 13, 2016",740676,50.44
"Oct 12, 2016",533884,50.18
"Oct 11, 2016",765608,50.79
"Oct 7, 2016",618809,49.81
"Oct 6, 2016",547915,50.44
"Oct 5, 2016",520070,49.83
"Oct 4, 2016",513710,48.69
"Oct 3, 2016",458021,48.81
"Sep 30, 2016",496515,48.24
"Sep 29, 2016",702649,47.83
"Sep 28, 2016",1008434,47.05
"Sep 27, 2016",630757,44.67
"Sep 26, 2016",527119,45.93
"Sep 23, 2016",718395,44.48
"Sep 22, 2016",521680,46.32
"Sep 21, 2016",585987,45.34
"Sep 20, 2016",694130,43.44
"Sep 19, 2016",129857,43.3
"Sep 16, 2016",231191,43.03
"Sep 15, 2016",537185,43.91
"Sep 14, 2016",705861,43.58
"Sep 13, 2016",657775,44.9
"Sep 12, 2016",745016,46.29
"Sep 9, 2016",688191,45.88
"Sep 8, 2016",761943,47.62
"Sep 7, 2016",572884,45.5
"Sep 6, 2016",932145,44.83
"Sep 2, 2016",576915,44.44
"Sep 1, 2016",605003,43.16
"Aug 31, 2016",549007,44.7
"Aug 30, 2016",464449,46.35
"Aug 29, 2016",309254,46.98
"Aug 26, 2016",558344,47.64
"Aug 25, 2016",458816,47.33
"Aug 24, 2016",603495,46.77
"Aug 23, 2016",623904,48.1
"Aug 22, 2016",515256,47.05
"Aug 19, 2016",162438,48.52
"Aug 18, 2016",229277,48.22
"Aug 17, 2016",563354,46.79
"Aug 16, 2016",550440,46.58
"Aug 15, 2016",522526,45.74
"Aug 12, 2016",536081,44.49
"Aug 11, 2016",682235,43.49
"Aug 10, 2016",676148,41.71
"Aug 9, 2016",624703,42.77
"Aug 8, 2016",562530,43.02
"Aug 5, 2016",550189,41.8
"Aug 4, 2016",598836,41.93
"Aug 3, 2016",655186,40.83
"Aug 2, 2016",534512,39.51
"Aug 1, 2016",533020,40.06
"Jul 29, 2016",478763,41.6
"Jul 28, 2016",447913,41.14
"Jul 27, 2016",537390,41.92
"Jul 26, 2016",461324,42.92
"Jul 25, 2016",389837,43.13
"Jul 22, 2016",428407,44.19
"Jul 21, 2016",432972,44.75
"Jul 20, 2016",541014,44.94
"Jul 19, 2016",128127,44.65
"Jul 18, 2016",211393,45.24
"Jul 15, 2016",430256,45.95
"Jul 14, 2016",573761,45.68
"Jul 13, 2016",686245,44.75
"Jul 12, 2016",658257,46.8
"Jul 11, 2016",533657,44.76
"Jul 8, 2016",583078,45.41
"Jul 7, 2016",710893,45.14
"Jul 6, 2016",607663,47.43
"Jul 5, 2016",609194,46.6
"Jul 1, 2016",405187,48.99
"Jun 30, 2016",508736,48.33
"Jun 29, 2016",511476,49.88
"Jun 28, 2016",498851,47.85
"Jun 27, 2016",504613,46.33
"Jun 24, 2016",649446,47.64
"Jun 23, 2016",401885,50.11
"Jun 22, 2016",569939,49.13
"Jun 21, 2016",475407,48.85
"Jun 20, 2016",98293,49.37
"Jun 17, 2016",226653,47.98
"Jun 16, 2016",507910,46.21
"Jun 15, 2016",527870,48.01
"Jun 14, 2016",456144,48.49
"Jun 13, 2016",506036,48.88
"Jun 10, 2016",596119,49.07
"Jun 9, 2016",560723,50.56
"Jun 8, 2016",656416,51.23
"Jun 7, 2016",542254,50.36
"Jun 6, 2016",450472,49.69
"Jun 3, 2016",481034,48.62
"Jun 2, 2016",564846,49.17
"Jun 1, 2016",568839,49.01
"May 31, 2016",476988,49.1
"May 27, 2016",406386,49.33
"May 26, 2016",488465,49.48
"May 25, 2016",550501,49.56
"May 24, 2016",475965,48.62
"May 23, 2016",475453,48.08
"May 20, 2016",538047,47.75
"May 19, 2016",108816,48.16
"May 18, 2016",343184,48.19
"May 17, 2016",470440,48.31
"May 16, 2016",550863,47.72
"May 13, 2016",519363,46.21
"May 12, 2016",715102,46.7
"May 11, 2016",869957,46.23
"May 10, 2016",709415,44.66
"May 9, 2016",767568,43.44
"May 6, 2016",695306,44.66
"May 5, 2016",746159,44.32
"May 4, 2016",711125,43.78
"May 3, 2016",625551,43.65
"May 2, 2016",464027,44.78
"Apr 29, 2016",598439,45.92
"Apr 28, 2016",487412,46.03
"Apr 27, 2016",648028,45.33
"Apr 26, 2016",564392,44.04
"Apr 25, 2016",606383,42.64
"Apr 22, 2016",575107,43.73
"Apr 21, 2016",671103,43.18
"Apr 20, 2016",796240,42.63
"Apr 19, 2016",101734,41.08
"Apr 18, 2016",342463,39.78
"Apr 15, 2016",520146,40.36
"Apr 14, 2016",488614,41.5
"Apr 13, 2016",730437,41.76
"Apr 12, 2016",796837,42.17
"Apr 11, 2016",679351,40.36
"Apr 8, 2016",817230,39.72
"Apr 7, 2016",626749,37.26
"Apr 6, 2016",751048,37.75
"Apr 5, 2016",485543,35.89
"Apr 4, 2016",549477,35.7
"Apr 1, 2016",547190,36.79
"Mar 31, 2016",532152,38.34
"Mar 30, 2016",542469,38.32
"Mar 29, 2016",488032,38.28
"Mar 28, 2016",299775,39.39
"Mar 24, 2016",495168,39.46
"Mar 23, 2016",492003,39.79
"Mar 22, 2016",463693,41.45
"Mar 21, 2016",479337,39.91
"Mar 18, 2016",130151,39.44
"Mar 17, 2016",298013,40.2
"Mar 16, 2016",494174,38.46
"Mar 15, 2016",446100,36.34
"Mar 14, 2016",489938,37.18
"Mar 11, 2016",564791,38.5
"Mar 10, 2016",701435,37.84
"Mar 9, 2016",740632,38.29
"Mar 8, 2016",706933,36.5
"Mar 7, 2016",709870,37.9
"Mar 4, 2016",578290,35.92
"Mar 3, 2016",512962,34.57
"Mar 2, 2016",597834,34.66
"Mar 1, 2016",566226,34.4
"Feb 29, 2016",512468,33.75
"Feb 26, 2016",646294,32.78
"Feb 25, 2016",611874,33.07
"Feb 24, 2016",652245,32.15
"Feb 23, 2016",539379,31.87
"Feb 22, 2016",521016,31.48
"Feb 19, 2016",103202,29.64
"Feb 18, 2016",225497,30.77
"Feb 17, 2016",578639,30.66
"Feb 16, 2016",651956,29.04
"Feb 12, 2016",675157,29.44
"Feb 11, 2016",795965,26.21
"Feb 10, 2016",781280,27.45
"Feb 9, 2016",738219,27.94
"Feb 8, 2016",603646,29.69
"Feb 5, 2016",616531,30.89
"Feb 4, 2016",696721,31.72
"Feb 3, 2016",811699,32.28
"Feb 2, 2016",602564,29.88
"Feb 1, 2016",595612,31.62
"Jan 29, 2016",618110,33.62
"Jan 28, 2016",833378,33.22
"Jan 27, 2016",738551,32.3
"Jan 26, 2016",642432,31.45
"Jan 25, 2016",606892,30.34
"Jan 22, 2016",636573,32.19
"Jan 21, 2016",694040,29.53
"Jan 20, 2016",690039,26.55
"Jan 19, 2016",188026,28.46
"Jan 15, 2016",329094,29.42
"Jan 14, 2016",537906,31.2
"Jan 13, 2016",637903,30.48
"Jan 12, 2016",627218,30.44
"Jan 11, 2016",648640,31.41
"Jan 8, 2016",596496,33.16
"Jan 7, 2016",617409,33.27
"Jan 6, 2016",563811,33.97
"Jan 5, 2016",410131,35.97
"Jan 4, 2016",431985,36.76
"Dec 31, 2015",283623,37.04
"Dec 30, 2015",267912,36.6
"Dec 29, 2015",241945,37.87
"Dec 28, 2015",220644,36.81
"Dec 24, 2015",205873,38.1
"Dec 23, 2015",374658,37.5
"Dec 22, 2015",302263,36.14
"Dec 21, 2015",298080,34.74
"Dec 18, 2015",116038,34.73
"Dec 17, 2015",196227,34.95
"Dec 16, 2015",402967,35.52
"Dec 15, 2015",474159,37.35
"Dec 14, 2015",550476,36.31
"Dec 11, 2015",505406,35.62
"Dec 10, 2015",513940,36.76
"Dec 9, 2015",646166,37.16
"Dec 8, 2015",767184,37.51
"Dec 7, 2015",635413,37.65
"Dec 4, 2015",510758,39.97
"Dec 3, 2015",496884,41.08
"Dec 2, 2015",545289,39.94
"Dec 1, 2015",415537,41.85
"Nov 30, 2015",369509,41.65
"Nov 27, 2015",316475,41.71
"Nov 25, 2015",383158,43.04
"Nov 24, 2015",430304,42.87
"Nov 23, 2015",516190,41.75
"Nov 20, 2015",432642,40.39
"Nov 19, 2015",131356,40.54
"Nov 18, 2015",251518,40.75
"Nov 17, 2015",363714,40.67
"Nov 16, 2015",535179,41.74
"Nov 13, 2015",480893,40.74
"Nov 12, 2015",545351,41.75
